league,game_id,season,week,away_team,home_team,kickoff,model_total,model_spread,market_total,market_spread,first_market_total,first_market_spread,actual_total,actual_margin,clv_total,clv_spread,total_result,spread_result,projection_generated_at,graded_at
ncaa,401856766,2026,1,North Carolina,TCU,2026-08-29T16:00:00Z,52.8237882595959,13.499388231384218,46.0,8.0,50.5,7.5,25.0,-5.0,-4.5,0.5,LOSS,LOSS,2026-08-29T13:51:33.853599Z,2026-09-01T02:15:44+00:00
ncaa,401858201,2026,1,Hawai'i,Stanford,2026-08-29T23:00:00Z,50.19755736821297,3.4166843872921326,48.5,4.5,50.5,3.0,64.0,10.0,2.0,1.5,WIN,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:15:44+00:00
ncaa,401858202,2026,1,NC State,Virginia,2026-08-29T19:30:00Z,58.71654274157687,6.111349074146829,50.5,4.0,54.5,3.5,42.0,26.0,-4.0,0.5,LOSS,WIN,2026-08-29T19:25:38.901245Z,2026-09-01T02:15:44+00:00
ncaa,401862693,2026,1,Memphis,UNLV,2026-08-30T02:00:00Z,60.92427049693853,15.100732805681968,56.0,4.0,60.5,3.0,48.0,-6.0,-4.5,1.0,LOSS,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:15:44+00:00
ncaa,401864494,2026,1,San José State,USC,2026-08-29T19:00:00Z,52.70816008129864,30.551158568536444,61.5,38.5,57.5,35.5,68.0,16.0,-4.0,-3.0,LOSS,WIN,2026-08-29T13:51:33.853599Z,2026-09-01T02:15:44+00:00
ncaa,401864570,2026,1,New Mexico State,Florida State,2026-08-29T23:00:00Z,51.36446262132597,17.645716559767845,53.5,31.0,53.5,29.5,51.0,17.0,0.0,-1.5,WIN,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:15:44+00:00
ncaa,401864577,2026,1,Jacksonville State,North Dakota State,2026-08-29T21:30:00Z,58.329862038361775,14.944627955885267,46.5,7.0,48.5,10.0,40.0,26.0,-2.0,-3.0,LOSS,WIN,2026-08-29T19:25:38.901245Z,2026-09-01T02:16:29+00:00
ncaa,401866408,2026,1,Sacramento State,Eastern Michigan,2026-08-29T22:30:00Z,57.636226413479584,4.3426853207248035,53.0,8.5,52.5,8.5,45.0,11.0,0.5,0.0,LOSS,LOSS,2026-08-29T19:25:38.901245Z,2026-09-01T02:16:29+00:00
ncaa,401866616,2026,1,New Hampshire,UAlbany,2026-08-28T23:00:00Z,45.700758822717724,12.05789805523132,46.5,-10.0,45.5,-11.5,42.0,14.0,1.0,1.5,WIN,WIN,2026-08-28T22:22:33.928528Z,2026-09-01T02:16:29+00:00
ncaa,401866617,2026,1,Rhode Island,Merrimack,2026-08-28T22:00:00Z,52.304398995469704,-2.8289576899561624,53.5,-20.5,53.5,-20.5,41.0,-27.0,0.0,0.0,WIN,LOSS,2026-08-28T11:25:51.738192Z,2026-09-01T02:16:29+00:00
