date,season,away_team_sbr,home_team_sbr,away_score,home_score,total_open_sbr,total_close_sbr,spread_open_sbr,spread_close_sbr
2019-09-05,2019,GreenBay,Chicago,10.0,3.0,46.0,46.5,3.5,3.0
2019-09-08,2019,Atlanta,Minnesota,12.0,28.0,47.5,46.5,4.5,3.5
2019-09-08,2019,Washington,Philadelphia,27.0,32.0,46.5,44.0,8.0,10.0
2019-09-08,2019,Buffalo,NYJets,17.0,16.0,38.5,41.0,3.5,2.5
2019-09-08,2019,Baltimore,Miami,59.0,10.0,36.5,40.5,3.5,7.0
2019-09-08,2019,SanFrancisco,TampaBay,31.0,17.0,48.5,51.0,1.0,1.0
2019-09-08,2019,KansasCity,Jacksonville,40.0,26.0,52.5,49.0,5.0,3.5
2019-09-08,2019,Tennessee,Cleveland,43.0,13.0,45.0,44.0,5.0,5.5
2019-09-08,2019,LARams,Carolina,30.0,27.0,50.5,49.0,3.0,1.5
2019-09-08,2019,Detroit,Arizona,27.0,27.0,48.5,46.0,0.0,3.0
2019-09-08,2019,Cincinnati,Seattle,20.0,21.0,43.5,44.5,7.5,9.0
2019-09-08,2019,Indianapolis,LAChargers,24.0,30.0,48.0,44.5,3.5,6.0
2019-09-08,2019,NYGiants,Dallas,17.0,35.0,46.0,44.5,7.0,7.0
2019-09-08,2019,Pittsburgh,NewEngland,3.0,33.0,51.5,49.0,6.0,5.5
2019-09-09,2019,Houston,NewOrleans,28.0,30.0,54.0,52.0,7.5,6.5
2019-09-09,2019,Denver,Oakland,16.0,24.0,43.0,42.5,3.0,3.0
2019-09-12,2019,TampaBay,Carolina,20.0,14.0,51.0,48.0,6.0,6.5
2019-09-15,2019,Indianapolis,Tennessee,19.0,17.0,44.0,43.5,3.0,3.0
2019-09-15,2019,LAChargers,Detroit,10.0,13.0,47.0,46.5,3.0,0.0
2019-09-15,2019,Buffalo,NYGiants,28.0,14.0,43.0,44.5,0.0,1.0
2019-09-15,2019,Arizona,Baltimore,17.0,23.0,41.5,46.0,12.0,13.0
2019-09-15,2019,NewEngland,Miami,43.0,0.0,47.0,48.5,15.0,18.5
2019-09-15,2019,Dallas,Washington,31.0,21.0,44.0,46.5,4.5,6.0
2019-09-15,2019,Jacksonville,Houston,12.0,13.0,45.0,43.0,8.0,7.0
2019-09-15,2019,Seattle,Pittsburgh,28.0,26.0,46.5,47.0,3.5,4.0
2019-09-15,2019,SanFrancisco,Cincinnati,41.0,17.0,45.0,46.5,1.0,0.0
2019-09-15,2019,Minnesota,GreenBay,16.0,21.0,46.0,43.5,3.0,3.0
2019-09-15,2019,KansasCity,Oakland,28.0,10.0,52.0,53.0,8.0,7.0
2019-09-15,2019,NewOrleans,LARams,9.0,27.0,54.0,52.5,3.0,1.5
2019-09-15,2019,Chicago,Denver,16.0,14.0,41.0,40.5,2.0,3.0
2019-09-15,2019,Philadelphia,Atlanta,20.0,24.0,51.0,53.0,0.0,1.0
2019-09-16,2019,Cleveland,NYJets,23.0,3.0,45.5,45.0,2.5,6.5
2019-09-19,2019,Tennessee,Jacksonville,7.0,20.0,41.0,38.0,2.5,1.5
2019-09-22,2019,Denver,GreenBay,16.0,27.0,43.5,41.0,7.0,7.0
2019-09-22,2019,Detroit,Philadelphia,27.0,24.0,49.5,44.5,7.0,4.0
2019-09-22,2019,Baltimore,KansasCity,28.0,33.0,51.5,52.0,5.0,4.5
2019-09-22,2019,Cincinnati,Buffalo,17.0,21.0,40.5,43.0,4.0,6.0
2019-09-22,2019,Atlanta,Indianapolis,24.0,27.0,48.0,48.0,2.5,1.5
2019-09-22,2019,Oakland,Minnesota,14.0,34.0,43.0,43.5,7.0,9.0
2019-09-22,2019,NYJets,NewEngland,14.0,30.0,45.5,43.0,21.5,21.0
2019-09-22,2019,Miami,Dallas,6.0,31.0,47.0,46.5,17.0,22.5
2019-09-22,2019,NYGiants,TampaBay,32.0,31.0,49.0,48.0,5.0,5.5
2019-09-22,2019,Carolina,Arizona,38.0,20.0,43.5,45.5,3.5,2.0
2019-09-22,2019,NewOrleans,Seattle,33.0,27.0,50.0,44.0,1.0,5.0
2019-09-22,2019,Houston,LAChargers,27.0,20.0,49.0,49.5,3.5,3.0
2019-09-22,2019,Pittsburgh,SanFrancisco,20.0,24.0,46.5,44.5,0.0,6.0
2019-09-22,2019,LARams,Cleveland,20.0,13.0,51.0,48.0,2.5,4.5
2019-09-23,2019,Chicago,Washington,31.0,15.0,42.5,41.0,4.0,4.5
2019-09-26,2019,Philadelphia,GreenBay,34.0,27.0,48.0,46.5,3.0,3.5
2019-09-29,2019,Carolina,Houston,16.0,10.0,47.0,47.5,4.0,5.5
2019-09-29,2019,Cleveland,Baltimore,40.0,25.0,46.5,47.5,5.0,7.0
2019-09-29,2019,Washington,NYGiants,3.0,24.0,46.0,48.0,1.5,3.0
2019-09-29,2019,LAChargers,Miami,30.0,10.0,45.0,44.0,16.5,14.5
2019-09-29,2019,Oakland,Indianapolis,31.0,24.0,44.0,46.5,6.5,5.5
2019-09-29,2019,KansasCity,Detroit,34.0,30.0,53.0,54.5,6.0,7.5
2019-09-29,2019,NewEngland,Buffalo,16.0,10.0,44.0,41.5,6.5,7.0
2019-09-29,2019,Tennessee,Atlanta,24.0,10.0,46.5,46.0,4.5,3.0
2019-09-29,2019,TampaBay,LARams,55.0,40.0,50.0,48.5,9.5,9.0
2019-09-29,2019,Seattle,Arizona,27.0,10.0,46.0,49.0,3.5,5.5
